stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000284425	9606.ENSP00000342216	ABCA6	ABCA9	9606	0.79	0	0	0.06	0.771	0.068	0	0.078
9606.ENSP00000341044	9606.ENSP00000422607	ACACB	ACSL1	9606	0.737	0	0	0	0.11	0	0	0.717
9606.ENSP00000329357	9606.ENSP00000341044	SP1	ACACB	9606	0.756	0	0	0	0.055	0	0.75	0.051
9606.ENSP00000345848	9606.ENSP00000384863	ANP32B	XPO1	9606	0.835	0	0	0	0.112	0.292	0	0.759
9606.ENSP00000250617	9606.ENSP00000347710	ARHGEF6	OPHN1	9606	0.849	0	0	0	0.084	0	0	0.842
9606.ENSP00000250617	9606.ENSP00000314067	ARHGEF6	PAK2	9606	0.989	0	0	0	0.066	0.847	0.9	0.336
9606.ENSP00000381844	9606.ENSP00000414147	ATL3	SPART	9606	0.853	0	0	0	0	0	0	0.853
9606.ENSP00000260947	9606.ENSP00000278616	BARD1	ATM	9606	0.946	0	0	0	0.044	0.07	0.5	0.892
9606.ENSP00000256996	9606.ENSP00000278616	DDB2	ATM	9606	0.712	0	0	0	0.049	0	0	0.71
9606.ENSP00000278616	9606.ENSP00000362649	ATM	HDAC1	9606	0.948	0	0	0	0.076	0.331	0	0.923
9606.ENSP00000226574	9606.ENSP00000278616	NFKB1	ATM	9606	0.746	0	0	0	0.102	0.071	0	0.72
9606.ENSP00000212015	9606.ENSP00000278616	SIRT1	ATM	9606	0.856	0	0	0	0.049	0	0	0.855
9606.ENSP00000301178	9606.ENSP00000319756	AXL	TNS2	9606	0.91	0	0	0	0.083	0.329	0	0.866
9606.ENSP00000301178	9606.ENSP00000478927	AXL	YAP1	9606	0.701	0	0	0	0.122	0.071	0	0.663
9606.ENSP00000342434	9606.ENSP00000371859	BAZ1B	BAZ1A	9606	0.946	0	0	0	0.06	0.51	0.72	0.635
9606.ENSP00000254480	9606.ENSP00000342434	SMARCC1	BAZ1B	9606	0.883	0	0	0	0.124	0.564	0	0.717
9606.ENSP00000362649	9606.ENSP00000384371	HDAC1	BCL6	9606	0.935	0	0	0	0	0.796	0	0.695
9606.ENSP00000212015	9606.ENSP00000384371	SIRT1	BCL6	9606	0.83	0	0	0	0.042	0.301	0	0.767
9606.ENSP00000361107	9606.ENSP00000500891	BMPR1A	MUTYH	9606	0.719	0	0	0	0	0	0	0.719
9606.ENSP00000343023	9606.ENSP00000398523	SP100	CALCOCO2	9606	0.839	0	0	0	0.079	0.079	0	0.826
9606.ENSP00000353452	9606.ENSP00000354826	MYLK	CALD1	9606	0.832	0	0	0	0.441	0	0.5	0.447
9606.ENSP00000398368	9606.ENSP00000415151	LIFR	CBFB	9606	0.75	0	0	0	0	0	0.75	0
9606.ENSP00000378517	9606.ENSP00000415151	SPP1	CBFB	9606	0.788	0	0	0	0.047	0	0.75	0.182
9606.ENSP00000262965	9606.ENSP00000415151	TCF3	CBFB	9606	0.932	0	0	0	0.049	0	0.5	0.869
9606.ENSP00000312455	9606.ENSP00000430684	CFLAR	IKBKB	9606	0.725	0	0	0	0.074	0.067	0	0.707
9606.ENSP00000312455	9606.ENSP00000358022	CFLAR	MCL1	9606	0.791	0	0	0	0.175	0.125	0	0.734
9606.ENSP00000223398	9606.ENSP00000364721	CLIP2	MAPRE1	9606	0.775	0	0	0	0	0.631	0	0.415
9606.ENSP00000305449	9606.ENSP00000493688	CNNM3	PTP4A2	9606	0.998	0	0	0	0.059	0.972	0	0.961
9606.ENSP00000378912	9606.ENSP00000388731	COBL	ITPRID2	9606	0.863	0	0	0	0	0	0	0.863
9606.ENSP00000355180	9606.ENSP00000379350	COL6A1	ITGB1	9606	0.776	0	0	0	0.119	0.045	0.65	0.329
9606.ENSP00000296181	9606.ENSP00000355180	ITGB5	COL6A1	9606	0.866	0	0	0	0.14	0.045	0.65	0.589
9606.ENSP00000222573	9606.ENSP00000355180	ITGB8	COL6A1	9606	0.769	0	0	0	0	0.045	0.65	0.364
9606.ENSP00000262367	9606.ENSP00000362649	CREBBP	HDAC1	9606	0.96	0	0	0	0.099	0.537	0.5	0.833
9606.ENSP00000262367	9606.ENSP00000430684	CREBBP	IKBKB	9606	0.801	0	0	0	0.088	0.681	0	0.369
9606.ENSP00000262367	9606.ENSP00000263754	CREBBP	KAT2B	9606	0.999	0	0	0	0.049	0.793	0.9	0.992
9606.ENSP00000226574	9606.ENSP00000262367	NFKB1	CREBBP	9606	0.913	0	0	0	0.06	0	0.5	0.83
9606.ENSP00000216797	9606.ENSP00000262367	NFKBIA	CREBBP	9606	0.741	0	0	0	0.06	0.292	0	0.643
9606.ENSP00000212015	9606.ENSP00000262367	SIRT1	CREBBP	9606	0.754	0	0	0	0.088	0.101	0	0.724
9606.ENSP00000262367	9606.ENSP00000329357	CREBBP	SP1	9606	0.992	0	0	0	0.172	0.749	0.8	0.845
9606.ENSP00000262367	9606.ENSP00000293328	CREBBP	STAT5B	9606	0.934	0	0	0	0.098	0.294	0.65	0.74
9606.ENSP00000262367	9606.ENSP00000388940	CREBBP	TCF12	9606	0.937	0	0	0	0.044	0.927	0	0.158
9606.ENSP00000262367	9606.ENSP00000262965	CREBBP	TCF3	9606	0.917	0	0	0	0.059	0.822	0	0.547
9606.ENSP00000262238	9606.ENSP00000262367	YY1	CREBBP	9606	0.951	0	0	0	0.157	0.33	0.8	0.622
9606.ENSP00000254322	9606.ENSP00000433560	DNAJB1	CRYAB	9606	0.73	0	0	0	0.073	0.054	0.4	0.547
9606.ENSP00000253408	9606.ENSP00000433560	GFAP	CRYAB	9606	0.781	0	0	0	0.213	0.296	0	0.636
9606.ENSP00000239926	9606.ENSP00000433560	MYOT	CRYAB	9606	0.857	0	0	0	0.083	0	0	0.85
9606.ENSP00000311825	9606.ENSP00000362649	CTBP2	HDAC1	9606	0.974	0	0	0	0.068	0.331	0.8	0.816
9606.ENSP00000263754	9606.ENSP00000311825	KAT2B	CTBP2	9606	0.741	0	0	0	0	0.359	0	0.613
9606.ENSP00000264674	9606.ENSP00000311825	MECOM	CTBP2	9606	0.958	0	0	0	0.055	0.07	0.9	0.58
9606.ENSP00000310448	9606.ENSP00000365625	SART1	DHX16	9606	0.953	0	0	0	0.174	0.268	0.9	0.316
9606.ENSP00000254322	9606.ENSP00000369127	DNAJB1	DNAJA1	9606	0.944	0	0	0.124	0.367	0.58	0.5	0.593
9606.ENSP00000254322	9606.ENSP00000444810	DNAJB1	FKBP5	9606	0.936	0	0	0	0.062	0.071	0.105	0.928
9606.ENSP00000212015	9606.ENSP00000254322	SIRT1	DNAJB1	9606	0.756	0.043	0	0	0.054	0.06	0.5	0.514
9606.ENSP00000254322	9606.ENSP00000343023	DNAJB1	SP100	9606	0.866	0	0	0	0.047	0	0	0.866
9606.ENSP00000346671	9606.ENSP00000485033	FYN	DOCK1	9606	0.911	0	0	0	0.055	0.142	0.5	0.806
9606.ENSP00000483313	9606.ENSP00000485033	WASF2	DOCK1	9606	0.763	0	0	0	0.043	0	0.5	0.545
9606.ENSP00000252268	9606.ENSP00000254480	DPF2	SMARCC1	9606	0.996	0	0	0	0.097	0.914	0.54	0.921
9606.ENSP00000336775	9606.ENSP00000470152	SYNM	DTNA	9606	0.898	0	0	0	0.075	0.292	0	0.858
9606.ENSP00000005340	9606.ENSP00000262457	DVL2	INVS	9606	0.942	0	0	0	0.049	0.077	0.9	0.417
9606.ENSP00000378725	9606.ENSP00000410059	KTN1	EEF1D	9606	0.969	0	0	0	0.056	0.63	0	0.92
9606.ENSP00000259727	9606.ENSP00000360250	GMPR	ENTPD1	9606	0.9	0	0	0	0	0	0.9	0
9606.ENSP00000338934	9606.ENSP00000494689	EZR	EPS8	9606	0.711	0	0	0	0.042	0	0.5	0.446
9606.ENSP00000362924	9606.ENSP00000494689	GSN	EPS8	9606	0.883	0	0	0	0.059	0	0.8	0.43
9606.ENSP00000425556	9606.ENSP00000494689	PALLD	EPS8	9606	0.799	0	0	0	0.092	0	0	0.788
9606.ENSP00000483313	9606.ENSP00000494689	WASF2	EPS8	9606	0.776	0	0	0	0	0	0	0.776
9606.ENSP00000338934	9606.ENSP00000362924	EZR	GSN	9606	0.837	0	0	0	0.047	0	0.5	0.686
9606.ENSP00000338934	9606.ENSP00000353408	EZR	MSN	9606	0.999	0	0	0.052	0.056	0.856	0.9	0.983
9606.ENSP00000338934	9606.ENSP00000425556	EZR	PALLD	9606	0.846	0	0	0	0.061	0.292	0	0.787
9606.ENSP00000258341	9606.ENSP00000406229	LAMC1	FAT1	9606	0.799	0	0	0	0.149	0	0	0.774
9606.ENSP00000430684	9606.ENSP00000444810	IKBKB	FKBP5	9606	0.784	0	0	0	0.15	0.573	0	0.453
9606.ENSP00000262719	9606.ENSP00000444810	PHLPP1	FKBP5	9606	0.996	0	0	0	0	0.627	0	0.992
9606.ENSP00000362924	9606.ENSP00000420213	GSN	FLNB	9606	0.745	0	0	0	0.053	0	0	0.742
9606.ENSP00000298229	9606.ENSP00000420213	INPPL1	FLNB	9606	0.813	0	0	0	0.076	0	0	0.806
9606.ENSP00000379350	9606.ENSP00000420213	ITGB1	FLNB	9606	0.939	0	0	0	0.111	0.477	0.65	0.673
9606.ENSP00000296181	9606.ENSP00000420213	ITGB5	FLNB	9606	0.824	0	0	0	0.081	0.19	0.65	0.404
9606.ENSP00000222573	9606.ENSP00000420213	ITGB8	FLNB	9606	0.798	0	0	0	0	0.184	0.65	0.352
9606.ENSP00000282397	9606.ENSP00000379350	FLT1	ITGB1	9606	0.722	0	0	0	0.063	0.063	0	0.709
9606.ENSP00000298229	9606.ENSP00000346671	INPPL1	FYN	9606	0.832	0	0	0	0.077	0.05	0.8	0.158
9606.ENSP00000346671	9606.ENSP00000379350	FYN	ITGB1	9606	0.923	0	0	0	0.063	0.071	0	0.918
9606.ENSP00000261799	9606.ENSP00000346671	PDGFRB	FYN	9606	0.891	0	0	0	0.1	0.748	0	0.557
9606.ENSP00000293328	9606.ENSP00000346671	STAT5B	FYN	9606	0.734	0	0	0	0.076	0.096	0.5	0.439
9606.ENSP00000346671	9606.ENSP00000462468	FYN	YES1	9606	0.994	0	0	0.053	0.046	0.921	0.9	0.39
9606.ENSP00000361626	9606.ENSP00000377681	YBX1	G3BP1	9606	0.944	0	0	0	0.263	0.596	0	0.829
9606.ENSP00000259727	9606.ENSP00000291539	GMPR	PDE9A	9606	0.907	0	0	0	0	0.107	0.9	0.052
9606.ENSP00000275364	9606.ENSP00000400717	GNA12	GNA13	9606	0.992	0	0	0.058	0.074	0.472	0.9	0.86
9606.ENSP00000353408	9606.ENSP00000362924	MSN	GSN	9606	0.749	0	0	0	0.056	0	0.5	0.512
9606.ENSP00000308753	9606.ENSP00000362924	TMOD3	GSN	9606	0.756	0	0	0	0.047	0.44	0	0.58
9606.ENSP00000362649	9606.ENSP00000384477	HDAC1	IFRD1	9606	0.837	0	0	0	0.055	0.301	0	0.773
9606.ENSP00000263754	9606.ENSP00000362649	KAT2B	HDAC1	9606	0.976	0	0	0	0.063	0.183	0.5	0.946
9606.ENSP00000264674	9606.ENSP00000362649	MECOM	HDAC1	9606	0.968	0	0	0	0	0.633	0.9	0.222
9606.ENSP00000226574	9606.ENSP00000362649	NFKB1	HDAC1	9606	0.996	0	0	0	0.058	0.841	0	0.981
9606.ENSP00000341779	9606.ENSP00000362649	PPP1CC	HDAC1	9606	0.757	0.041	0	0	0.148	0.676	0	0.187
9606.ENSP00000212015	9606.ENSP00000362649	SIRT1	HDAC1	9606	0.993	0	0	0	0	0.528	0	0.987
9606.ENSP00000254480	9606.ENSP00000362649	SMARCC1	HDAC1	9606	0.909	0	0	0	0.326	0.356	0	0.808
9606.ENSP00000329357	9606.ENSP00000362649	SP1	HDAC1	9606	0.991	0	0	0	0.106	0.962	0	0.779
9606.ENSP00000362649	9606.ENSP00000364912	HDAC1	SPEN	9606	0.739	0	0	0	0.061	0.292	0	0.64
9606.ENSP00000362649	9606.ENSP00000495556	HDAC1	TBL1X	9606	0.857	0	0	0	0.067	0.306	0.5	0.612
9606.ENSP00000362649	9606.ENSP00000388940	HDAC1	TCF12	9606	0.705	0	0	0	0.049	0	0	0.702
